province,year,gdp,gdp_growth
重庆,2021,28092.5,11.663837889188766
重庆,2022,28771.8,2.418083118270009
重庆,2023,30614.3,6.403839870984784
重庆,2024,32046.7,4.678859225917309
陕西,2011,12320.1,
陕西,2012,14311.5,16.16382983904352
陕西,2013,16106.3,12.540963560772811
陕西,2014,17635.6,9.495042312635427
陕西,2015,18188.3,3.1340016784231928
陕西,2016,19354.6,6.412363992236769
陕西,2017,21776.1,12.511237638597539
陕西,2018,24354.8,11.84188169598781
陕西,2019,26214.5,7.635866441112227
陕西,2020,26297.0,0.3147113238856303
陕西,2021,30476.6,15.893828193330028
陕西,2022,33035.6,8.396605920607936
陕西,2023,33976.5,2.848139582753162
陕西,2024,35437.1,4.298853619413423
青海,2011,1388.3,
青海,2012,1547.9,11.49607433551827
青海,2013,1736.1,12.158408165902168
青海,2014,1875.1,8.006451241287937
青海,2015,2054.3,9.556823636072753
青海,2016,2310.7,12.481137127001872
青海,2017,2517.0,8.92803046695807
青海,2018,2799.9,11.239570917759245
青海,2019,3020.2,7.868138147790993
青海,2020,3080.6,1.9998675584398384
青海,2021,3446.3,11.871064078426286
青海,2022,3677.4,6.70574239038968
青海,2023,3849.2,4.671778974275287
青海,2024,3965.5,3.021407045619884
黑龙江,2011,10074.0,
黑龙江,2012,11171.0,10.88941830454635
黑龙江,2013,12017.0,7.573180556798853
黑龙江,2014,12357.1,2.830157277190648
黑龙江,2015,12023.2,-2.7020902962669235
黑龙江,2016,12280.9,2.143356178055744
黑龙江,2017,12659.5,3.0828359485054024
黑龙江,2018,13205.7,4.314546388087992
黑龙江,2019,13962.5,5.73085864437326
黑龙江,2020,14000.1,0.269292748433303
黑龙江,2021,15292.8,9.23350547496089
黑龙江,2022,16359.2,6.9732161540071225
黑龙江,2023,16470.7,0.681573671084168
黑龙江,2024,16478.1,0.04492826655817517
